title,url,description,date
"Israel committing genocide in Gaza, say Israel-based human rights groups",https://www.theguardian.com/world/2025/jul/28/israel-committing-genocide-in-gaza-say-israel-based-human-rights-groups,"Reports detailing intentional targeting of Palestinians as a group, and systemic destruction of Palestinian society, add to pressure for action",2025-07-28
"Australia won’t receive Aukus nuclear submarines unless US doubles shipbuilding, admiral warns",https://www.theguardian.com/world/2025/jul/28/aukus-australia-nuclear-submarines-us-subs-navy-admiral,"Former prime minister Malcolm Turnbull says there is a ‘very, very high’ chance Virginia-class subs will never arrive under Australian control",2025-07-28
Mastercard and Visa face backlash after hundreds of adult games removed from online stores Steam and Itch.io,https://www.theguardian.com/world/2025/jul/29/mastercard-visa-backlash-adult-games-removed-online-stores-steam-itchio-ntwnfb,"Payment platforms demand services remove NSFW content after open letter from Australian anti-porn group Collective Shout, triggering accusations of censorship",2025-07-28
‘There’s an arrogance to the way they move around the city’: is it time for digital nomads like me to leave Lisbon?,https://www.theguardian.com/world/2025/jul/27/lisbon-portugal-digital-nomads-foreign-remote-workers-integration,"Like so many others, I moved from London to Portugal’s capital for the sun, lifestyle – and the tax break. But as tensions rise with struggling locals, many of us are beginning to wonder whether we’re doing more harm than good …",2025-07-27
Von der Leyen ducks Trump’s trade blitz – but deal exposes EU’s faultlines,https://www.theguardian.com/world/2025/jul/28/von-der-leyen-ducks-trumps-trade-blitz-but-deal-exposes-eus-faultlines,"Europe may have staved off an economic clash, but the compromise leaves the bloc facing higher tariffs and internal discord",2025-07-28
Saudi Arabia and France to lead UN push for recognising Palestinian statehood,https://www.theguardian.com/world/2025/jul/28/saudi-arabia-france-un-palestine-statehood,Two countries open three-day conference at United Nations with goal as part of peaceful settlement to end war in Gaza,2025-07-28
Christopher Nolan criticised for filming in occupied Western Sahara city,https://www.theguardian.com/world/2025/jul/28/christopher-nolan-criticised-for-filming-in-occupied-western-sahara-city,Organisers of local film festival warn production of The Odyssey in Dakhla could normalise repression by Morocco,2025-07-28
Mother of British victim of Air India crash left ‘heartbroken’ by casket error,https://www.theguardian.com/world/2025/jul/27/mother-of-british-victim-of-air-india-crash-left-heartbroken-by-casket-error,Amanda Donaghey provided DNA to officials in Ahmedabad but wrong remains were flown to the UK,2025-07-27
‘Like my other half’: man mourns wife and children killed buying snacks amid Thailand-Cambodia clashes,https://www.theguardian.com/world/2025/jul/27/woman-and-children-killed-sisaket-thailand-cambodia-border-dispute,Komsan Prachan’s family had nipped into a convenience store at a petrol station when rocket hit in Sisaket province,2025-07-27
Trump gives Russia ‘10 or 12’ days to move on Ukraine as ‘no progress made’ – as it happened,https://www.theguardian.com/world/live/2025/jul/28/european-leaders-eu-us-trump-tariff-trade-deal-reaction-spain-ukraine-europe-latest-updates-news,US president on visit to Scotland repeats he is ‘very disappointed’ with Vladimir Putin and increases pressure for peace deal,2025-07-28
Pogacar’s rivals must work out how to defeat a champion at the top of his game,https://www.theguardian.com/sport/2025/jul/28/pogacars-rivals-must-work-out-how-to-defeat-a-champion-at-the-top-of-his-game,"If ever a cyclist was suited to the intensity of the modern, made-for-TV format of the Tour, it is Tadej Pogacar",2025-07-28
Tilting at windmills? Trump’s claims about turbines fact-checked,https://www.theguardian.com/environment/2025/jul/28/are-trump-claims-about-wind-power-correct,The US president has taken a swipe at wind power as the blades visible from his Turnberry golf course turn,2025-07-28
Man carrying home his gardening tools arrested by armed police in Manchester,https://www.theguardian.com/uk-news/2025/jul/28/man-allotment-gardening-tools-arrest-armed-police-manchester,"Samuel Rowe, who was returning from allotment, seeking to overturn caution for possession of offensive weapon",2025-07-28
The EU has capitulated to Trump. But even this doesn’t buy an end to the transatlantic trade war,https://www.theguardian.com/commentisfree/2025/jul/28/eu-capitulated-donald-trump-transatlantic-trade-war,"The US president humiliated Ursula von der Leyen at his Scottish resort – but she still has no certainty on tariffs, says Paul Taylor of the European Policy Centre",2025-07-28
Sidekick Starmer can’t get a word in as The Donald dominates world’s most one-sided double act,https://www.theguardian.com/politics/2025/jul/28/donald-trump-keir-starmer-one-sided-double-act,The PM and his wife looked like they wanted to be anywhere else but Trump could – and almost did – go on all day,2025-07-28
How do we lead moral lives in an age of bullies?,https://www.theguardian.com/commentisfree/2025/jul/28/bullies-moral-lives-robert-reich,"In my lifetime, I have witnessed a shift from support of decency to tolerance of cruelty. Where do we go from here?",2025-07-28
Murdoch v Trump: why the flawed media titan could be the final protector of press freedom,https://www.theguardian.com/commentisfree/2025/jul/28/rupert-murdoch-donald-trump-press-freedom,"His companies may have hacked phones and broadcast lies, but Murdoch appears ready to battle the president to uphold editorial freedoms, says Guardian columnist Jane Martinson",2025-07-28
King of Kings by Scott Anderson review – how the last shah of Iran sealed his own fate,https://www.theguardian.com/books/2025/jul/28/king-of-kings-by-scott-anderson-review-how-the-last-shah-of-iran-sealed-his-own-fate,"A clear-eyed account of a difficult, complex man and his self-inflicted fall from grace",2025-07-28
"Isak, Gyökeres and Ekitiké herald a new age of the center-forward",https://www.theguardian.com/football/2025/jul/28/center-forwards-isak-gyokeres-ekitike,"After years spent in striker-less formations, the Premier League’s top teams are seemingly all set to rely on a big body (or two) up top",2025-07-28
Key takeaways from Trump’s press Q&As in Scotland,https://www.theguardian.com/us-news/2025/jul/28/key-takeaways-donald-trump-keir-starmer-press-q-and-a-turnberry-scotland,The US president’s talks with Keir Starmer at Turnberry covered several topics,2025-07-28
